tconst,averagerating,numvotes
tt0099865,6.3,138
tt0099866,6.2,35
tt0099867,6.1,44
tt0099868,5.0,150
tt0099869,4.9,217
tt0099870,7.8,22
tt0099871,7.4,113944
tt0099872,4.1,14
tt0099873,6.8,27
tt0099874,5.7,128
tt0099875,6.1,1247
tt0099876,7.1,41
tt0099878,5.5,5532
tt0099879,4.4,292
tt0099880,5.9,102
tt0099881,6.4,499
tt0099882,4.8,19
tt0099883,5.8,146
tt0099884,7.2,88
tt0099885,5.2,20
tt0099886,5.2,20
tt0099888,6.4,392
tt0099889,5.7,51
tt0099890,6.4,89
tt0099891,5.9,37
tt0099892,5.9,38922
tt0099893,5.8,66
tt0099895,7.1,9
tt0099897,6.1,13
tt0099898,6.4,289
tt0099899,6.2,34
tt0099900,5.2,30
tt0099901,4.8,726
tt0099902,7.6,8777
tt0099904,6.5,401
tt0099905,5.6,45
tt0099906,3.8,9
tt0099907,4.6,214
tt0099908,7.3,19
tt0099909,5.3,13
tt0099912,6.3,31
tt0099913,5.5,13
tt0099914,5.7,129
tt0099915,5.8,440
tt0099916,3.9,28
tt0099917,7.0,320
tt0099919,6.4,26
tt0099920,5.5,210
tt0099922,3.4,117
tt0099923,7.0,63
tt0099924,8.0,15
tt0099925,6.4,107
tt0099927,7.4,529
tt0099928,5.7,28
tt0099929,5.4,92
tt0099930,6.3,297
tt0099931,4.1,109
tt0099932,4.6,149
tt0099933,6.1,82
tt0099934,4.4,785
tt0099935,3.7,1675
tt0099936,6.7,729
tt0099938,6.2,157558
tt0099939,6.9,39916
tt0099940,4.5,16
tt0099941,5.7,113
tt0099943,5.9,754
tt0099944,6.4,228
tt0099945,9.1,9
tt0099946,6.4,36
tt0099948,6.6,165
tt0099949,7.4,1536
tt0099950,6.9,58
tt0099951,6.6,8840
tt0099952,6.8,12
tt0099953,4.8,233
tt0099954,6.7,18
tt0099955,3.5,13
tt0099956,5.6,28
tt0099959,4.7,658
tt0099961,6.2,367
tt0099962,7.6,57
tt0099964,5.5,6
tt0099965,6.1,344
tt0099966,6.4,340
tt0099968,4.4,182
tt0099969,3.4,1152
tt0099970,8.5,10
tt0099971,6.6,7
tt0099972,7.9,10
tt0099973,8.5,14
tt0099974,6.9,317
tt0099975,5.8,162
tt0099978,3.5,2497
tt0099979,4.7,58
tt0099980,6.2,116
tt0099981,7.4,39
tt0099982,3.9,359
tt0099983,5.8,124
tt0099984,4.4,110
tt0099986,5.8,149
tt0099987,4.5,295
tt0099988,5.4,125
tt0099989,6.0,60
tt0099990,6.5,134
tt0099991,5.8,1574
tt0099992,5.3,504
tt0099994,5.0,18175
tt0099995,6.7,196
tt0099996,7.2,520
tt0099998,5.2,65
tt0100000,5.7,16
tt0100002,7.9,387
tt0100003,5.0,1150
tt0100004,6.4,259
tt0100006,8.5,23
tt0100007,5.8,46
tt0100008,5.3,142
tt0100009,4.4,96
