nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0818516,Beth Spiegel,\N,\N,"editor,editorial_department,animation_department","tt0405042,tt10646310,tt0205022,tt0091223"
nm0818552,Yvonne Spiegel,\N,\N,producer,"tt0141215,tt0084398,tt0165332,tt0081999"
nm0818602,Jeff Spielman,\N,\N,"assistant_director,production_manager,writer","tt0444691,tt0072471,tt0376139,tt0139487"
nm0818608,Götz Spielmann,1961,\N,"writer,actor,director","tt0087295,tt3121050,tt1173745,tt0107647"
nm0818621,Carol Spier,\N,\N,"production_designer,art_director,art_department","tt0399146,tt0765443,tt14549466,tt1663662"
nm0818641,David Spiers,\N,\N,"editor,editorial_department,sound_department","tt0131349,tt0071278,tt0082288,tt0080408"
nm0818650,Amy Spies,\N,\N,"producer,script_department,writer","tt1415456,tt0089208,tt0098749,tt1427167"
nm0818682,Tanja Spiess,\N,\N,actress,tt0081464
nm0818759,Davy Spillane,1959,\N,"soundtrack,composer,music_department","tt0375154,tt0117039,tt0217505,tt0114287"
nm0818785,Michael Spiller,\N,\N,"producer,director,cinematographer","tt0285403,tt0159206,tt1442437,tt2211129"
nm0818807,Nathalie Spilmont,\N,\N,actress,"tt1319146,tt0092025,tt5445580,tt0089300"
nm0818881,Mitch Spinelli,1953,\N,"director,writer,producer","tt0125143,tt0082232,tt0139308,tt0082824"
nm0818901,Maurizio Spinelli,1944,\N,"miscellaneous,producer,production_manager","tt0085337,tt14894820,tt6201664,tt0203408"
nm0818905,Philip J. Spinelli,\N,\N,"producer,actor,director","tt0092306,tt0095381,tt0089905,tt0085515"
nm0819044,Takis Spyridakis,1958,2019,"actor,director,writer","tt0085599,tt1433354,tt0263568,tt0123976"
nm0819046,Nikolai Spiridenko,\N,\N,director,tt0087361
nm0819099,Kevin Spirtas,1962,\N,"actor,producer,writer","tt0095179,tt5897570,tt0058796,tt0287978"
nm0819102,György Spiró,1946,\N,"writer,actor","tt0083878,tt2234061,tt0269458,tt0441074"
nm0819108,Karol Spisák,1941,2007,"actor,director","tt0256543,tt0256577,tt27371300,tt3803980"
nm0819146,Ester Spitz,1962,\N,actress,"tt0785033,tt0088812,tt0093883,tt0097159"
nm0819159,Rhonda Spitz,\N,\N,actress,tt0080584
nm0819170,Carlos Ysbert,1956,\N,"actor,miscellaneous,set_decorator","tt0365948,tt0089388,tt0180216,tt0086931"
nm0819249,SPK,\N,\N,"composer,soundtrack,actor","tt0097162,tt0099909,tt0862966"
nm0819268,Spliff,\N,\N,"soundtrack,composer,actor","tt0307884,tt0085205,tt0806910,tt0144050"
nm0819282,Jan Spoczynski,\N,\N,"production_designer,art_director,art_department","tt0416320,tt0117391,tt0360201,tt0368658"
nm0819284,David Spode,\N,\N,"production_designer,art_department","tt0058836,tt0063886,tt0077007,tt0201401"
nm0819287,Louis Spoelstra,\N,\N,"editor,director,cinematographer","tt0451847,tt3268776,tt0149468,tt12131530"
nm0819298,Miriam Spoerri,1931,2010,actress,"tt0342725,tt0405871,tt0258712,tt0336366"
nm0819430,Dijana Sporcic,1951,\N,actress,"tt0087123,tt0181132,tt0243696,tt13552496"
nm0819465,Tina Sportolaro,\N,\N,actress,"tt0102748,tt0156408,tt0102368,tt0095174"
nm0819481,Gianni Sposito,\N,\N,"composer,music_department,soundtrack","tt0144877,tt0210071,tt0096759,tt4285188"
nm0819513,Michael Spound,1957,\N,"actor,director,writer","tt0112178,tt0417001,tt0298130,tt7708090"
nm0819636,Wolf-Dietrich Sprenger,1942,\N,"actor,director","tt0251447,tt0098657,tt1256550,tt0246772"
nm0819655,Elizabeth Spriggs,1929,2008,"actress,writer,soundtrack","tt0114388,tt0162806,tt0241527,tt0144728"
nm0819786,Ruth Springford,1921,2010,actress,"tt0062626,tt0348926,tt0080516,tt0341777"
nm0819862,David Sproxton,1954,\N,"producer,animation_department,director","tt0120630,tt0088761,tt0424095,tt0312004"
nm0819873,Ray Spruell,1924,1990,actor,"tt13931746,tt0073349,tt0085057,tt0084809"
nm0819993,Gianna Spyropoulou,\N,\N,"editor,editorial_department,miscellaneous","tt0252832,tt0055119,tt0252840,tt0104641"
nm0819996,Dimitris Spyrou,\N,\N,"actor,producer,writer","tt0288671,tt0100429,tt1330193,tt1127324"
nm0819999,Miloslav Spála,1946,\N,"cinematographer,camera_department,animation_department","tt0104120,tt0934969,tt0496296,tt0117715"
nm0820113,Buddy Squires,\N,\N,"cinematographer,camera_department,producer","tt9780458,tt27549751,tt0098769,tt0220924"
nm0820208,Sreenivasan,1956,\N,"actor,writer,director","tt0254942,tt0353975,tt8286926,tt0354148"
nm0820218,Jelica Sretenovic,1954,\N,actress,"tt0191733,tt0090399,tt0380229,tt0088338"
nm0820238,Marjan Srienc,\N,\N,"actor,assistant_director","tt0249105,tt0806910,tt0083674,tt0092125"
nm0820286,Srividya,1953,2006,"actress,producer","tt0101649,tt0154159,tt0230321,tt0259263"
nm0820304,Heiny Srour,\N,\N,"director,producer,editor","tt19724984,tt0087608,tt26540639,tt0222337"
